molecule_chembl_id,target_chembl_id,assay_chembl_id,pchembl_value,standard_relation,standard_type
CHEMBL11,CHEMBL228,CHEMBL3295403,8.68,=,Ki
CHEMBL1064,CHEMBL402,CHEMBL3390813,7.4,=,IC50
CHEMBL1089,CHEMBL2039,CHEMBL3404812,7.03,=,Ki
CHEMBL11,CHEMBL228,CHEMBL3413565,8.68,=,Ki
CHEMBL11,CHEMBL228,CHEMBL3777270,9.06,=,IC50
CHEMBL11,CHEMBL228,CHEMBL3800925,8.59,=,IC50
CHEMBL11,CHEMBL228,CHEMBL3800924,7.51,=,Ki
CHEMBL11,CHEMBL228,CHEMBL3800926,8.24,=,Ki
CHEMBL11,CHEMBL228,CHEMBL3871863,8.29,=,IC50
CHEMBL11,CHEMBL228,CHEMBL3871875,8.7,=,Ki
CHEMBL11,CHEMBL228,CHEMBL3876410,9.06,=,IC50
CHEMBL1064,CHEMBL402,CHEMBL4037104,9.05,=,IC50
CHEMBL11,CHEMBL228,CHEMBL4041092,9.0,=,Ki
CHEMBL1089,CHEMBL1951,CHEMBL4042110,6.62,=,IC50
CHEMBL1089,CHEMBL2039,CHEMBL4042111,6.84,=,IC50
CHEMBL1089,CHEMBL1951,CHEMBL4042118,6.79,=,Ki
CHEMBL1089,CHEMBL2039,CHEMBL4042120,6.91,=,Ki
CHEMBL11,CHEMBL228,CHEMBL4314363,8.6,=,Ki
CHEMBL11,CHEMBL228,CHEMBL4396183,8.72,=,Ki
CHEMBL11,CHEMBL228,CHEMBL4396183,8.39,=,IC50
CHEMBL1071,CHEMBL2364163,CHEMBL4400163,6.19,=,Kd
CHEMBL1071,CHEMBL230,CHEMBL4415263,6.96,=,IC50
CHEMBL1071,CHEMBL221,CHEMBL4415262,6.13,=,IC50
CHEMBL11,CHEMBL228,CHEMBL4669827,7.7,=,Ki
CHEMBL11,CHEMBL231,CHEMBL4669828,8.0,=,Ki
CHEMBL11,CHEMBL228,CHEMBL4723562,7.54,=,IC50
CHEMBL1113,CHEMBL3155,CHEMBL619854,6.3,=,Ki
CHEMBL1112,CHEMBL3155,CHEMBL619854,7.85,=,Ki
CHEMBL1172,CHEMBL231,CHEMBL830379,9.01,=,Ki
CHEMBL1112,CHEMBL234,CHEMBL912015,8.35,=,Ki
CHEMBL1112,CHEMBL217,CHEMBL913685,8.74,=,Ki
CHEMBL1112,CHEMBL217,CHEMBL895618,8.3,=,Ki
CHEMBL1112,CHEMBL234,CHEMBL895619,8.4,=,Ki
CHEMBL1112,CHEMBL214,CHEMBL895620,8.1,=,Ki
CHEMBL1112,CHEMBL224,CHEMBL895616,7.8,=,Ki
CHEMBL1112,CHEMBL1833,CHEMBL895621,8.9,=,Ki
CHEMBL1112,CHEMBL225,CHEMBL895623,7.3,=,Ki
CHEMBL1112,CHEMBL3371,CHEMBL895624,6.7,=,Ki
CHEMBL1112,CHEMBL3155,CHEMBL895625,7.2,=,Ki
CHEMBL1112,CHEMBL228,CHEMBL895627,7.5,=,Ki
CHEMBL1112,CHEMBL217,CHEMBL1066831,8.59,=,Ki
CHEMBL1112,CHEMBL217,CHEMBL1066832,8.55,=,Ki
CHEMBL1112,CHEMBL217,CHEMBL1260558,8.4,=,Ki
CHEMBL1112,CHEMBL224,CHEMBL1260559,8.4,=,Ki
CHEMBL1112,CHEMBL214,CHEMBL1260560,8.15,=,Ki
CHEMBL1112,CHEMBL240,CHEMBL1260557,6.22,=,Ki
CHEMBL1110,CHEMBL1899,CHEMBL1274533,9.3,=,Ki
CHEMBL1110,CHEMBL1899,CHEMBL1648623,9.3,=,Ki
CHEMBL1112,CHEMBL240,CHEMBL1676103,6.2,=,IC50
CHEMBL1112,CHEMBL217,CHEMBL1776016,8.74,=,Ki
CHEMBL1112,CHEMBL224,CHEMBL1776018,8.02,=,Ki
CHEMBL1112,CHEMBL214,CHEMBL1776019,7.99,=,Ki
CHEMBL1112,CHEMBL4302,CHEMBL1781566,6.11,=,IC50
CHEMBL1112,CHEMBL225,CHEMBL1787311,7.66,=,Ki
CHEMBL1112,CHEMBL3371,CHEMBL1787312,6.24,=,Ki
CHEMBL1112,CHEMBL217,CHEMBL1815674,8.51,=,Ki
CHEMBL1112,CHEMBL234,CHEMBL1815675,8.17,=,Ki
CHEMBL1113,CHEMBL214,CHEMBL2026267,6.66,=,Ki
CHEMBL1113,CHEMBL224,CHEMBL2026265,8.75,=,Ki
CHEMBL1112,CHEMBL217,CHEMBL2169117,8.41,=,Ki
CHEMBL1112,CHEMBL234,CHEMBL2319542,8.01,=,Ki
CHEMBL1112,CHEMBL217,CHEMBL2321509,9.1,=,Ki
CHEMBL1112,CHEMBL3155,CHEMBL2321512,7.58,=,Ki
CHEMBL1112,CHEMBL3371,CHEMBL2321511,7.05,=,Ki
CHEMBL1112,CHEMBL224,CHEMBL2321513,7.68,=,Ki
CHEMBL1112,CHEMBL214,CHEMBL2321514,8.25,=,Ki
CHEMBL1112,CHEMBL217,CHEMBL2328745,9.7,=,Ki
CHEMBL1118,CHEMBL228,CHEMBL2389183,7.77,=,IC50
CHEMBL1118,CHEMBL228,CHEMBL2389183,7.82,=,Ki
CHEMBL1112,CHEMBL214,CHEMBL3226682,8.0,=,Ki
CHEMBL1112,CHEMBL1898,CHEMBL3226683,6.0,=,Ki
CHEMBL1112,CHEMBL1983,CHEMBL3226684,7.0,=,Ki
CHEMBL1112,CHEMBL224,CHEMBL3226686,8.0,=,Ki
CHEMBL1112,CHEMBL225,CHEMBL3226688,6.0,=,Ki
CHEMBL1112,CHEMBL1899,CHEMBL3226689,6.0,=,Ki
CHEMBL1112,CHEMBL3426,CHEMBL3226691,6.0,=,Ki
CHEMBL1112,CHEMBL3155,CHEMBL3226693,7.0,=,Ki
CHEMBL1112,CHEMBL2056,CHEMBL3226694,6.0,=,Ki
CHEMBL1112,CHEMBL234,CHEMBL3226696,8.0,=,Ki
CHEMBL1112,CHEMBL229,CHEMBL3226699,7.0,=,Ki
CHEMBL1112,CHEMBL232,CHEMBL3226700,7.0,=,Ki
CHEMBL1112,CHEMBL1867,CHEMBL3225629,7.0,=,Ki
CHEMBL1112,CHEMBL1942,CHEMBL3225630,6.0,=,Ki
CHEMBL1112,CHEMBL1916,CHEMBL3225631,7.0,=,Ki
CHEMBL1112,CHEMBL231,CHEMBL3225632,7.0,=,Ki
CHEMBL1110,CHEMBL1899,CHEMBL3268497,9.3,=,Ki
CHEMBL1112,CHEMBL2056,CHEMBL3295079,6.51,=,Ki
CHEMBL1112,CHEMBL217,CHEMBL3295080,9.27,=,Ki
CHEMBL1112,CHEMBL217,CHEMBL3295081,9.35,=,Ki
CHEMBL1112,CHEMBL234,CHEMBL3295082,8.52,=,Ki
CHEMBL1112,CHEMBL224,CHEMBL3293222,8.4,=,Ki
CHEMBL1112,CHEMBL217,CHEMBL3293231,7.95,=,IC50
CHEMBL1112,CHEMBL217,CHEMBL3293231,7.96,=,IC50
CHEMBL1112,CHEMBL217,CHEMBL3381713,9.1,=,Ki
CHEMBL1112,CHEMBL234,CHEMBL3381714,8.48,=,Ki
CHEMBL1112,CHEMBL214,CHEMBL3381715,8.25,=,Ki
CHEMBL1112,CHEMBL224,CHEMBL3381716,8.06,=,Ki
CHEMBL1112,CHEMBL225,CHEMBL3381717,7.66,=,Ki
CHEMBL1112,CHEMBL217,CHEMBL3591366,9.46,=,Ki
CHEMBL1112,CHEMBL234,CHEMBL3591367,9.0,=,Ki
CHEMBL1112,CHEMBL224,CHEMBL3610643,8.06,=,Ki
CHEMBL1112,CHEMBL217,CHEMBL3614290,9.32,=,Ki
CHEMBL1112,CHEMBL224,CHEMBL3614295,8.4,=,Ki
CHEMBL1112,CHEMBL225,CHEMBL3707614,6.89,=,Ki
CHEMBL1112,CHEMBL231,CHEMBL3707498,7.55,=,Ki
CHEMBL1112,CHEMBL217,CHEMBL3707630,8.8,=,Ki
CHEMBL1112,CHEMBL224,CHEMBL3705548,8.05,=,Ki
CHEMBL1112,CHEMBL228,CHEMBL3707693,6.62,=,Ki
CHEMBL1112,CHEMBL229,CHEMBL3707631,7.58,=,Ki
CHEMBL1112,CHEMBL231,CHEMBL3806812,6.38,=,IC50
CHEMBL1112,CHEMBL229,CHEMBL3806811,6.77,=,IC50
CHEMBL1112,CHEMBL214,CHEMBL3821447,8.25,=,Ki
CHEMBL1112,CHEMBL224,CHEMBL3821448,8.06,=,Ki
CHEMBL1112,CHEMBL3155,CHEMBL3821449,7.99,=,Ki
CHEMBL1112,CHEMBL1833,CHEMBL3821450,9.44,=,Ki
CHEMBL1112,CHEMBL217,CHEMBL3821452,8.48,=,Ki
CHEMBL1112,CHEMBL234,CHEMBL3821453,8.01,=,Ki
CHEMBL1112,CHEMBL231,CHEMBL3821455,7.6,=,Ki
CHEMBL1110,CHEMBL1899,CHEMBL3706294,9.3,=,Ki
CHEMBL1112,CHEMBL217,CHEMBL4010156,9.28,=,Ki
CHEMBL1112,CHEMBL2056,CHEMBL4010154,6.51,=,Ki
CHEMBL1112,CHEMBL217,CHEMBL4010153,9.35,=,Ki
CHEMBL1112,CHEMBL234,CHEMBL4010157,8.64,=,Ki
CHEMBL1112,CHEMBL224,CHEMBL4010158,8.43,=,Ki
CHEMBL1112,CHEMBL217,CHEMBL4010168,7.83,=,EC50
CHEMBL1112,CHEMBL217,CHEMBL4010167,7.71,=,EC50
CHEMBL1112,CHEMBL217,CHEMBL4010171,7.76,=,EC50
CHEMBL1112,CHEMBL217,CHEMBL4010173,8.06,=,EC50
CHEMBL1112,CHEMBL217,CHEMBL4010175,8.32,=,EC50
CHEMBL1112,CHEMBL234,CHEMBL4011212,8.45,=,Ki
CHEMBL1112,CHEMBL217,CHEMBL4011211,9.32,=,Ki
CHEMBL1112,CHEMBL2056,CHEMBL4015805,6.51,=,Ki
CHEMBL1112,CHEMBL217,CHEMBL4015806,9.28,=,Ki
CHEMBL1112,CHEMBL217,CHEMBL4015807,9.42,=,Ki
CHEMBL1112,CHEMBL234,CHEMBL4015808,8.54,=,Ki
CHEMBL1112,CHEMBL224,CHEMBL4015812,8.44,=,Ki
CHEMBL1112,CHEMBL217,CHEMBL4015821,6.13,=,EC50
CHEMBL1112,CHEMBL217,CHEMBL4046973,9.28,=,Ki
CHEMBL1112,CHEMBL2056,CHEMBL4046972,6.51,=,Ki
CHEMBL1112,CHEMBL217,CHEMBL4046974,9.42,=,Ki
CHEMBL1112,CHEMBL234,CHEMBL4046975,8.54,=,Ki
CHEMBL1112,CHEMBL224,CHEMBL4046979,8.44,=,Ki
CHEMBL1118,CHEMBL228,CHEMBL4219697,7.28,=,IC50
CHEMBL1118,CHEMBL222,CHEMBL4219698,6.27,=,IC50
CHEMBL1112,CHEMBL217,CHEMBL4229838,9.1,=,Ki
CHEMBL1112,CHEMBL3155,CHEMBL4229837,7.36,=,Ki
CHEMBL1112,CHEMBL3371,CHEMBL4229835,7.05,=,Ki
CHEMBL1112,CHEMBL224,CHEMBL4229834,7.2,=,Ki
CHEMBL1112,CHEMBL214,CHEMBL4229836,7.52,=,Ki
CHEMBL1112,CHEMBL217,CHEMBL4308344,8.48,=,Ki
CHEMBL1112,CHEMBL214,CHEMBL4308343,8.25,=,Ki
CHEMBL1112,CHEMBL217,CHEMBL4314365,9.47,=,Ki
CHEMBL1112,CHEMBL224,CHEMBL4314364,8.47,=,Ki
CHEMBL1112,CHEMBL214,CHEMBL4314362,8.77,=,Ki
CHEMBL1172,CHEMBL231,CHEMBL4367543,8.8,=,Ki
CHEMBL1112,CHEMBL217,CHEMBL4371563,8.4,=,EC50
CHEMBL1172,CHEMBL231,CHEMBL4410552,8.73,=,IC50
CHEMBL1172,CHEMBL231,CHEMBL4629986,7.62,=,Kd
CHEMBL1112,CHEMBL231,CHEMBL4677479,7.21,=,Ki
CHEMBL1112,CHEMBL217,CHEMBL4688549,8.48,=,Ki
CHEMBL1112,CHEMBL234,CHEMBL4688550,8.01,=,Ki
CHEMBL1112,CHEMBL214,CHEMBL4688552,8.25,=,Ki
CHEMBL1112,CHEMBL224,CHEMBL4688553,8.06,=,Ki
CHEMBL1112,CHEMBL225,CHEMBL4688554,6.75,=,Ki
CHEMBL1112,CHEMBL3155,CHEMBL4688555,7.99,=,Ki
CHEMBL1112,CHEMBL3371,CHEMBL4709847,6.5,=,Ki
CHEMBL1112,CHEMBL240,CHEMBL4709848,6.05,=,IC50
CHEMBL1112,CHEMBL217,CHEMBL4815619,8.48,=,Ki
CHEMBL1112,CHEMBL234,CHEMBL4815620,8.01,=,Ki
CHEMBL1112,CHEMBL214,CHEMBL4815622,8.25,=,Ki
CHEMBL1112,CHEMBL224,CHEMBL4815623,8.06,=,Ki
CHEMBL1112,CHEMBL225,CHEMBL4815624,6.75,=,Ki
CHEMBL1112,CHEMBL3155,CHEMBL4815625,7.99,=,Ki
CHEMBL1112,CHEMBL217,CHEMBL4821052,8.01,=,Ki
CHEMBL1112,CHEMBL234,CHEMBL4821053,7.97,=,Ki
CHEMBL1112,CHEMBL214,CHEMBL4821054,7.7,=,Ki
CHEMBL1112,CHEMBL224,CHEMBL4821055,7.92,=,Ki
CHEMBL1112,CHEMBL3371,CHEMBL4821057,6.5,=,Ki
CHEMBL1112,CHEMBL240,CHEMBL4821061,6.05,=,IC50
CHEMBL1112,CHEMBL217,CHEMBL4828545,9.16,=,Ki
CHEMBL1112,CHEMBL234,CHEMBL4828546,8.63,=,Ki
CHEMBL1112,CHEMBL217,CHEMBL4842092,8.67,=,Ki
CHEMBL1112,CHEMBL217,CHEMBL4842092,8.67,=,Ki
CHEMBL1112,CHEMBL234,CHEMBL4842098,8.4,=,Ki
CHEMBL1112,CHEMBL234,CHEMBL4842098,8.4,=,Ki
CHEMBL1112,CHEMBL214,CHEMBL4842099,7.88,=,Ki
CHEMBL1112,CHEMBL214,CHEMBL4842099,7.88,=,Ki
CHEMBL1112,CHEMBL224,CHEMBL4842100,7.4,=,Ki
CHEMBL1112,CHEMBL224,CHEMBL4842100,7.4,=,Ki
CHEMBL1112,CHEMBL225,CHEMBL4842101,7.02,=,Ki
CHEMBL1112,CHEMBL225,CHEMBL4842101,7.02,=,Ki
CHEMBL1112,CHEMBL214,CHEMBL5121185,8.25,=,Ki
CHEMBL1112,CHEMBL224,CHEMBL5121186,8.06,=,Ki
CHEMBL1112,CHEMBL1833,CHEMBL5121187,8.25,=,Ki
CHEMBL1112,CHEMBL217,CHEMBL5121188,8.48,=,Ki
CHEMBL1112,CHEMBL234,CHEMBL5121189,8.01,=,Ki
CHEMBL1112,CHEMBL231,CHEMBL5121190,7.6,=,Ki
CHEMBL1112,CHEMBL1916,CHEMBL5121191,7.42,=,Ki
CHEMBL1138,CHEMBL2027,CHEMBL5127801,6.43,=,IC50
CHEMBL1163,CHEMBL1287617,CHEMBL5142486,6.52,=,IC50
CHEMBL1163,CHEMBL1287617,CHEMBL5142487,6.22,=,IC50
CHEMBL1112,CHEMBL217,CHEMBL5145822,8.35,=,Ki
